World size from current node: 4
Number of GPUs in current node: 1
Rank 0, Local Rank 0, Using GPU 0
Epoch 0, Batch 0, Loss 2.3000693321228027
Epoch 0, Batch 10, Loss 2.3044490814208984
Epoch 0, Batch 20, Loss 2.303802728652954
Epoch 0, Batch 30, Loss 2.305067300796509
Epoch 0, Batch 40, Loss 2.302358627319336
Epoch 0, Batch 50, Loss 2.3021833896636963
Epoch 0, Batch 60, Loss 2.3019747734069824
Epoch 0, Batch 70, Loss 2.2989869117736816
